stan_nawodnienia,rodzaj_gleby,stan_nawiezienia,stopien_rozwoju,rodzaj_rosliny,rodzaj_nawozu,to_water
0.32,brunatne,0.01,0.75,ziemniak,mineralny,1
0.38,brunatne,0.15,0.85,pszenica,organiczny,1
0.17,piaszczyste,0.22,0.13,brak,organiczny,1
0.67,czarnoziemy,0.64,0.55,pszenica,sztuczny,0
0.45,brunatne,0.16,0.16,brak,organiczny,1
0.25,czarnoziemy,0.16,0.23,pszenica,organiczny,1
0.10,brunatne,0.02,0.17,brak,mineralny,1
0.25,brunatne,0.39,0.17,kaktus,organiczny,1
0.92,brunatne,0.68,0.77,ziemniak,sztuczny,0
0.70,piaszczyste,0.72,0.79,kaktus,sztuczny,0
0.54,czarnoziemy,0.95,0.59,ziemniak,organiczny,0
0.21,piaszczyste,0.05,0.03,brak,mineralny,1
0.23,brunatne,0.11,0.86,ziemniak,organiczny,1
0.61,czarnoziemy,0.76,0.76,ziemniak,sztuczny,0
0.87,brunatne,0.53,0.85,pszenica,organiczny,0
0.21,brunatne,0.01,0.26,kaktus,mineralny,1
0.32,piaszczyste,0.06,0.40,ziemniak,mineralny,1
0.76,czarnoziemy,0.79,0.67,pszenica,mineralny,0
0.30,brunatne,0.21,0.10,brak,mineralny,1
0.66,piaszczyste,0.93,0.95,kaktus,sztuczny,0
0.71,brunatne,0.52,0.62,ziemniak,mineralny,0
0.43,piaszczyste,0.38,0.35,pszenica,sztuczny,1
0.66,brunatne,0.72,0.63,pszenica,organiczny,0
0.21,piaszczyste,0.47,0.96,brak,sztuczny,1
0.78,brunatne,0.59,0.68,pszenica,organiczny,0
0.85,piaszczyste,0.77,0.64,pszenica,organiczny,0
0.84,piaszczyste,0.75,0.86,ziemniak,sztuczny,0
0.71,czarnoziemy,0.72,0.74,ziemniak,mineralny,1
0.75,piaszczyste,0.77,0.74,ziemniak,sztuczny,0
0.76,piaszczyste,0.75,0.81,pszenica,mineralny,0
0.72,brunatne,0.74,0.84,kaktus,sztuczny,0
0.59,brunatne,0.82,0.88,pszenica,organiczny,0
0.48,czarnoziemy,0.15,0.27,ziemniak,organiczny,0
0.04,piaszczyste,0.90,0.8,pszenica,organiczny,0
0.23,brunatne,0.12,0.56,brak,organiczny,1
0.02,piaszczyste,0.20,0.18,brak,organiczny,1
0.02,piaszczyste,0.35,0.24,ziemniak,mineralny,1
0.76,piaszczyste,0.78,0.85,ziemniak,mineralny,0
0.72,czarnoziemy,0.67,0.76,brak,mineralny,0
0.06,brunatne,0.02,0.71,ziemniak,mineralny,1
0.96,czarnoziemy,0.66,0.80,ziemniak,sztuczny,0
0.34,brunatne,0.22,0.15,kaktus,mineralny,0
0.78,piaszczyste,0.62,0.68,pszenica,mineralny,0
0.01,czarnoziemy,0.22,0.05,pszenica,sztuczny,1
0.02,czarnoziemy,0.31,0.80,pszenica,sztuczny,1
0.11,piaszczyste,0.14,0.14,pszenica,organiczny,1
0.95,piaszczyste,0.61,0.94,brak,sztuczny,0
0.78,brunatne,0.86,0.63,pszenica,organiczny,0
0.03,brunatne,0.27,0.25,pszenica,sztuczny,1
0.62,czarnoziemy,0.75,0.75,ziemniak,sztuczny,0
0.24,piaszczyste,0.02,0.23,pszenica,organiczny,1
0.46,czarnoziemy,0.79,0.27,ziemniak,sztuczny,0
0.24,piaszczyste,0.74,0.53,pszenica,mineralny,1
0.82,czarnoziemy,0.77,0.86,ziemniak,mineralny,0
0.25,brunatne,0.18,0.23,pszenica,sztuczny,1
0.73,czarnoziemy,0.94,0.54,brak,organiczny,0
0.63,piaszczyste,0.84,0.92,kaktus,sztuczny,0
0.78,czarnoziemy,0.75,0.94,brak,sztuczny,0
0.84,piaszczyste,0.79,0.80,pszenica,sztuczny,0
0.78,czarnoziemy,0.95,0.63,pszenica,mineralny,0
0.43,brunatne,0.38,0.52,pszenica,organiczny,1
0.88,piaszczyste,0.84,0.78,ziemniak,sztuczny,0
0.69,brunatne,0.86,0.55,ziemniak,organiczny,0
0.77,piaszczyste,0.78,0.55,ziemniak,organiczny,0
0.26,brunatne,0.24,0.12,ziemniak,mineralny,1
0.75,czarnoziemy,0.64,0.73,brak,mineralny,0
0.14,piaszczyste,0.38,0.44,pszenica,sztuczny,1
0.84,czarnoziemy,0.85,0.67,ziemniak,organiczny,0
0.33,brunatne,0.11,0.12,brak,organiczny,1
0.89,brunatne,0.67,0.88,brak,organiczny,0
0.15,brunatne,0.21,0.23,pszenica,mineralny,1
0.07,piaszczyste,0.24,0.67,brak,sztuczny,1
0.29,czarnoziemy,0.10,0.14,ziemniak,sztuczny,1
0.99,piaszczyste,0.99,0.75,kaktus,mineralny,0
0.62,piaszczyste,0.65,0.75,brak,organiczny,0
0.33,czarnoziemy,0.23,0.23,brak,sztuczny,1
0.16,brunatne,0.28,0.38,brak,organiczny,1
0.35,piaszczyste,0.18,0.13,ziemniak,mineralny,0
0.85,czarnoziemy,0.64,0.74,pszenica,sztuczny,0
0.78,czarnoziemy,0.59,0.72,ziemniak,organiczny,0
0.24,czarnoziemy,0.14,0.18,brak,organiczny,1
0.25,czarnoziemy,0.13,0.16,pszenica,sztuczny,1
0.87,czarnoziemy,0.87,0.76,pszenica,mineralny,0
0.28,brunatne,0.44,0.27,brak,mineralny,1
0.47,brunatne,0.09,0.05,ziemniak,mineralny,1
0.68,piaszczyste,0.72,0.67,brak,sztuczny,0
0.23,czarnoziemy,0.27,0.25,pszenica,sztuczny,1
0.05,piaszczyste,0.11,0.16,brak,organiczny,1
0.12,piaszczyste,0.21,0.22,brak,mineralny,1
0.86,brunatne,0.55,0.67,ziemniak,organiczny,0
0.68,brunatne,0.76,0.87,pszenica,organiczny,0
0.04,brunatne,0.32,0.26,kaktus,sztuczny,1
0.73,piaszczyste,0.73,0.73,pszenica,sztuczny,0
0.01,czarnoziemy,0.42,0.34,ziemniak,mineralny,1
0.96,piaszczyste,0.70,0.71,ziemniak,organiczny,0
0.74,piaszczyste,0.66,0.79,kaktus,mineralny,0
0.75,brunatne,0.66,0.82,pszenica,mineralny,0
0.70,brunatne,0.69,0.63,pszenica,organiczny,0
0.66,brunatne,0.85,0.72,brak,sztuczny,0
0.73,piaszczyste,0.58,0.95,ziemniak,mineralny,0
0.36,brunatne,0.14,0.02,brak,mineralny,0
0.61,piaszczyste,0.70,0.66,pszenica,mineralny,0
0.83,piaszczyste,0.68,0.75,ziemniak,sztuczny,0
0.55,brunatne,0.68,0.79,ziemniak,sztuczny,0
0.75,czarnoziemy,0.64,0.58,kaktus,organiczny,0
0.99,brunatne,0.57,0.82,pszenica,organiczny,0
0.88,czarnoziemy,0.68,0.65,brak,sztuczny,0
0.58,czarnoziemy,0.68,0.71,ziemniak,organiczny,1
0.14,piaszczyste,0.46,0.17,brak,sztuczny,1
0.06,czarnoziemy,0.23,0.25,kaktus,sztuczny,1
0.56,brunatne,0.88,0.65,ziemniak,organiczny,0
0.32,brunatne,0.39,0.23,pszenica,organiczny,1
0.64,piaszczyste,0.85,0.99,ziemniak,mineralny,0
0.25,czarnoziemy,0.26,0.45,kaktus,organiczny,0
0.78,piaszczyste,0.85,0.92,brak,mineralny,0
0.14,brunatne,0.09,0.13,pszenica,organiczny,1
0.82,brunatne,0.81,0.80,brak,mineralny,0
0.65,piaszczyste,0.58,0.78,pszenica,mineralny,0
0.32,piaszczyste,0.25,0.04,ziemniak,organiczny,1
0.33,czarnoziemy,0.12,0.46,kaktus,sztuczny,0
0.58,czarnoziemy,0.76,0.66,pszenica,mineralny,0
0.01,czarnoziemy,0.32,0.33,ziemniak,mineralny,1
0.65,brunatne,0.88,0.66,ziemniak,organiczny,0
0.12,czarnoziemy,0.16,0.13,brak,mineralny,1
0.86,brunatne,0.98,0.88,brak,sztuczny,0
0.23,brunatne,0.15,0.15,ziemniak,mineralny,1
0.24,piaszczyste,0.37,0.34,kaktus,mineralny,0
0.05,brunatne,0.18,0.39,ziemniak,mineralny,1
0.23,czarnoziemy,0.26,0.35,ziemniak,organiczny,1
0.55,czarnoziemy,0.78,0.89,brak,organiczny,0
0.25,czarnoziemy,0.13,0.47,brak,mineralny,1
0.62,czarnoziemy,0.82,0.68,brak,sztuczny,0
0.85,czarnoziemy,0.64,0.56,brak,mineralny,0
0.58,piaszczyste,0.94,0.74,brak,sztuczny,0
0.17,piaszczyste,0.34,0.15,ziemniak,mineralny,1
0.26,czarnoziemy,0.21,0.15,pszenica,mineralny,1
0.22,czarnoziemy,0.35,0.45,pszenica,mineralny,1
0.21,piaszczyste,0.26,0.26,pszenica,organiczny,1
0.38,piaszczyste,0.36,0.14,pszenica,mineralny,1
0.17,piaszczyste,0.38,0.27,pszenica,organiczny,1
0.11,piaszczyste,0.21,0.23,pszenica,sztuczny,1
0.48,czarnoziemy,0.29,0.28,kaktus,organiczny,0
0.16,czarnoziemy,0.21,0.56,ziemniak,organiczny,1
0.22,piaszczyste,0.22,0.19,ziemniak,sztuczny,1
0.63,czarnoziemy,0.87,0.77,pszenica,mineralny,0
0.69,piaszczyste,0.85,0.78,brak,mineralny,0
0.55,brunatne,0.50,0.79,brak,organiczny,0
0.14,piaszczyste,0.14,0.35,ziemniak,mineralny,1
0.95,czarnoziemy,0.82,0.92,pszenica,organiczny,0
0.68,piaszczyste,0.57,0.62,pszenica,mineralny,0
0.60,brunatne,0.66,0.85,ziemniak,mineralny,0
0.50,brunatne,0.91,0.83,ziemniak,organiczny,0
0.36,piaszczyste,0.08,0.75,kaktus,mineralny,0
0.13,brunatne,0.26,0.38,kaktus,sztuczny,1
0.32,piaszczyste,0.25,0.24,ziemniak,sztuczny,1
0.84,brunatne,0.54,0.50,brak,mineralny,0
0.31,czarnoziemy,0.49,0.14,pszenica,organiczny,1
0.62,piaszczyste,0.74,0.85,kaktus,sztuczny,0
0.85,czarnoziemy,0.67,0.74,brak,organiczny,0
0.74,piaszczyste,0.69,0.98,ziemniak,organiczny,0
0.16,piaszczyste,0.16,0.36,pszenica,mineralny,1
0.01,czarnoziemy,0.12,0.29,ziemniak,organiczny,1
0.55,brunatne,0.67,0.74,brak,sztuczny,0
0.75,czarnoziemy,0.86,0.90,ziemniak,sztuczny,0
0.42,czarnoziemy,0.25,0.39,kaktus,sztuczny,0
0.25,brunatne,0.30,0.24,ziemniak,organiczny,1
0.12,czarnoziemy,0.20,0.49,ziemniak,mineralny,1
0.75,brunatne,0.75,0.54,pszenica,organiczny,0
0.65,czarnoziemy,0.82,0.76,pszenica,mineralny,0
0.79,czarnoziemy,0.66,0.77,pszenica,sztuczny,0
0.62,brunatne,0.78,0.84,brak,mineralny,0
0.05,czarnoziemy,0.19,0.17,brak,organiczny,1
0.22,czarnoziemy,0.24,0.25,kaktus,organiczny,1
0.17,brunatne,0.31,0.35,ziemniak,mineralny,1
0.91,brunatne,0.58,0.89,ziemniak,sztuczny,0
0.07,brunatne,0.27,0.27,ziemniak,organiczny,1
0.32,piaszczyste,0.12,0.68,brak,organiczny,1